produto_id,nome_produto,categoria,data_venda,quantidade,preco_unitario,total_venda,Venda
P005,Tablet,Acessórios,,4,100,400.0,2023-00001
P001,Tablet,Eletrônicos,2023-01-01,2,2000,4000.0,
P005,Tablet,Acessórios,2023-01-01,3,100,,2023-00003
P001,Tablet,Eletrônicos,2023-01-01,5,2000,10000.0,
P005,Tablet,Acessórios,2023-01-01,4,100,400.0,
P003,Tablet,Eletrônicos,2023-01-01,4,1500,,
P003,Tablet,Eletrônicos,2023-01-01,5,1500,7500.0,
P002,Tablet,Eletrônicos,2023-01-01,5,3500,17500.0,2023-00008
P005,Tablet,Acessórios,2023-01-01,2,100,200.0,
P004,Tablet,Acessórios,2023-01-01,5,50,250.0,
P005,Tablet,Acessórios,2023-01-01,2,100,200.0,
P005,Tablet,Acessórios,2023-01-01,3,100,300.0,
P003,Tablet,Eletrônicos,2023-01-01,3,1500,4500.0,2023-00013
P004,Tablet,Acessórios,2023-01-01,4,50,200.0,2023-00014
P001,Tablet,Eletrônicos,2023-01-01,5,2000,10000.0,2023-00015
P005,Tablet,Acessórios,2023-01-01,2,100,200.0,2023-00016
P001,Tablet,Eletrônicos,2023-01-01,1,2000,2000.0,
P005,Tablet,Acessórios,2023-01-01,1,100,100.0,
P001,Tablet,Eletrônicos,,3,2000,6000.0,
P001,Tablet,Eletrônicos,2023-01-01,2,2000,4000.0,
P005,Tablet,Acessórios,2023-01-01,1,100,100.0,2023-00021
P001,Tablet,Eletrônicos,2023-01-01,2,2000,4000.0,2023-00022
P002,Tablet,Eletrônicos,2023-01-01,2,3500,7000.0,
P003,Tablet,Eletrônicos,2023-01-01,5,1500,7500.0,2023-00024
P004,Tablet,Acessórios,2023-01-01,1,50,50.0,
P005,Tablet,Acessórios,2023-01-01,3,100,300.0,
P005,Tablet,Acessórios,2023-01-01,2,100,200.0,
P004,Tablet,Acessórios,2023-01-01,2,50,100.0,
P005,Tablet,Acessórios,2023-01-01,2,100,200.0,2023-00029
P004,Tablet,Acessórios,2023-01-01,4,50,200.0,
P001,Tablet,Eletrônicos,2023-01-01,1,2000,2000.0,
P002,Tablet,Eletrônicos,2023-01-02,4,3500,14000.0,
P003,Tablet,Eletrônicos,,5,1500,7500.0,
P004,Tablet,Acessórios,2023-01-02,5,50,250.0,
P002,Tablet,Eletrônicos,2023-01-02,4,3500,14000.0,
P005,Tablet,Acessórios,2023-01-02,5,100,500.0,2023-00036
P005,Tablet,Acessórios,2023-01-02,4,100,,
P004,Tablet,Acessórios,2023-01-02,5,50,250.0,
P005,Tablet,Acessórios,2023-01-02,2,100,200.0,2023-00039
P002,Tablet,Eletrônicos,2023-01-02,2,3500,7000.0,2023-00040
P001,Tablet,Eletrônicos,2023-01-02,2,2000,4000.0,
P001,Tablet,Eletrônicos,2023-01-02,3,2000,6000.0,2023-00042
P002,Tablet,Eletrônicos,2023-01-02,1,3500,3500.0,
P005,Tablet,Acessórios,2023-01-02,5,100,500.0,
P002,Tablet,Eletrônicos,2023-01-02,2,3500,7000.0,
P005,Tablet,Acessórios,2023-01-02,2,100,200.0,
P001,Tablet,Eletrônicos,,2,2000,4000.0,
P004,Tablet,Acessórios,2023-01-02,2,50,100.0,
P001,Tablet,Eletrônicos,2023-01-02,4,2000,8000.0,
P001,Tablet,Eletrônicos,2023-01-02,2,2000,4000.0,
P003,Tablet,Eletrônicos,2023-01-02,1,1500,1500.0,
P003,Tablet,Eletrônicos,2023-01-02,3,1500,,
P003,Tablet,Eletrônicos,2023-01-02,4,1500,6000.0,2023-00053
P001,Tablet,Eletrônicos,2023-01-02,4,2000,8000.0,2023-00054
P005,Tablet,Acessórios,2023-01-02,4,100,400.0,
P004,Tablet,Acessórios,,3,50,150.0,
P003,Tablet,Eletrônicos,2023-01-03,4,1500,,2023-00057
P002,Tablet,Eletrônicos,,5,3500,17500.0,
P004,Tablet,Acessórios,2023-01-03,2,50,100.0,
P004,Tablet,Acessórios,2023-01-03,3,50,150.0,
P005,Tablet,Acessórios,2023-01-03,3,100,300.0,
P001,Tablet,Eletrônicos,2023-01-03,2,2000,4000.0,
P004,Tablet,Acessórios,2023-01-03,2,50,100.0,
P001,Tablet,Eletrônicos,2023-01-03,1,2000,2000.0,
P001,Tablet,Eletrônicos,,2,2000,4000.0,2023-00065
P005,Tablet,Acessórios,2023-01-03,3,100,300.0,2023-00066
P002,Tablet,Eletrônicos,2023-01-03,2,3500,7000.0,2023-00067
P001,Tablet,Eletrônicos,2023-01-03,1,2000,2000.0,
P005,Tablet,Acessórios,2023-01-03,2,100,200.0,
P001,Tablet,Eletrônicos,2023-01-03,3,2000,6000.0,
P002,Tablet,Eletrônicos,2023-01-03,4,3500,14000.0,
P004,Tablet,Acessórios,2023-01-03,3,50,150.0,
P004,Tablet,Acessórios,2023-01-03,4,50,200.0,
P004,Tablet,Acessórios,2023-01-03,1,50,50.0,
P004,Tablet,Acessórios,2023-01-03,5,50,250.0,
P002,Tablet,Eletrônicos,2023-01-03,4,3500,14000.0,
P004,Tablet,Acessórios,2023-01-03,1,50,50.0,
P001,Tablet,Eletrônicos,2023-01-03,4,2000,,2023-00078
P005,Tablet,Acessórios,2023-01-03,5,100,500.0,
P003,Tablet,Eletrônicos,2023-01-03,4,1500,6000.0,2023-00080
P003,Tablet,Eletrônicos,2023-01-04,4,1500,6000.0,
P004,Tablet,Acessórios,2023-01-04,2,50,100.0,
P003,Tablet,Eletrônicos,2023-01-04,5,1500,7500.0,
P003,Tablet,Eletrônicos,2023-01-04,4,1500,6000.0,
P001,Tablet,Eletrônicos,2023-01-04,5,2000,10000.0,
P005,Tablet,Acessórios,2023-01-04,1,100,100.0,2023-00086
P002,Tablet,Eletrônicos,2023-01-04,1,3500,3500.0,
P002,Tablet,Eletrônicos,2023-01-04,4,3500,14000.0,
P003,Tablet,Eletrônicos,2023-01-04,4,1500,6000.0,
P001,Tablet,Eletrônicos,2023-01-04,3,2000,6000.0,2023-00090
P004,Tablet,Acessórios,2023-01-04,5,50,250.0,
P002,Tablet,Eletrônicos,2023-01-04,3,3500,10500.0,2023-00092
P003,Tablet,Eletrônicos,2023-01-04,2,1500,3000.0,
P003,Tablet,Eletrônicos,2023-01-04,3,1500,4500.0,
P005,Tablet,Acessórios,2023-01-04,4,100,400.0,
P001,Tablet,Eletrônicos,2023-01-04,1,2000,2000.0,
